Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2020-11-09,0.0,0.0,0.0,0.0,0.0,1.0,2020-11-09
2020-11-10,0.006487990841139379,0.006666183609883358,0.0,0.0064836012581656055,0.006487990841139379,0.9805360666904548,2020-11-10
2020-11-11,0.013445631110581557,0.013593217882762132,0.0,0.013441995472688484,0.013445631110581557,0.9595018496971002,2020-11-11
2020-11-12,0.02419147481766243,0.020389826824143253,0.0,0.024285124236895272,0.024191474817662484,0.912909614919414,2020-11-12
2020-11-13,0.032741324202345046,0.024447503804072235,0.0,0.03294563335059958,0.032741324202345046,0.8723777475929482,2020-11-13
2020-11-14,0.041206859668890206,0.03018621838997182,0.0,0.04147834105199122,0.04120685966889026,0.8405350573227506,2020-11-14
2020-11-15,0.04887106450850909,0.03225853199043549,0.0,0.049280295985214995,0.04887106450850903,0.8011082640756402,2020-11-15
2020-11-16,0.05563812745059099,0.03502644735888705,0.0,0.056145873531577795,0.05563812745059099,0.7709713821870872,2020-11-16
2020-11-17,0.06175228013403822,0.04253314977175571,0.0,0.06222572228324719,0.06175228013403833,0.7628066448980602,2020-11-17
2020-11-18,0.0677410071541405,0.04866314035214847,0.0,0.06821096943083033,0.06774100715414044,0.7506439502419506,2020-11-18
2020-11-19,0.07481048530673196,0.05469168900804289,0.0,0.07530608973729669,0.0748104853067319,0.732449986484816,2020-11-19
2020-11-20,0.08102776575781839,0.06101007173393236,0.0,0.08152087964498339,0.08102776575781845,0.7204718773320562,2020-11-20
2020-11-21,0.08716491314621222,0.06486486486486487,0.0,0.08771425032155616,0.08716491314621205,0.7007900437824288,2020-11-21
2020-11-22,0.09297212135908461,0.07022679515977104,0.0,0.09353242746645124,0.09297212135908461,0.6884715564580226,2020-11-22
2020-11-23,0.09761600654443242,0.07303818563872189,0.0,0.09822145414446054,0.09761600654443237,0.673888653492992,2020-11-23
2020-11-24,0.10104918567388077,0.0807912470110862,0.0,0.10154821772362838,0.10104918567388066,0.6822062673136302,2020-11-24
2020-11-25,0.10658638030594109,0.08954423592493299,0.0,0.10700619479862528,0.1065863803059412,0.683010442021351,2020-11-25
2020-11-26,0.11168597873477559,0.09550032606332881,0.0,0.11208469449572167,0.11168597873477559,0.6768772328358419,2020-11-26
2020-11-27,0.11596229704559852,0.1020360843417144,0.0,0.11630535398670794,0.11596229704559852,0.6768105362699695,2020-11-27
2020-11-28,0.12060409180322385,0.10778929063111375,0.0,0.120919770343004,0.12060409180322396,0.6724519905826587,2020-11-28
2020-11-29,0.12410695185675275,0.11060068111006449,0.0,0.12443966398938178,0.12410695185675275,0.6643616589478816,2020-11-29
2020-11-30,0.12789376167590988,0.11333961307151663,0.0,0.12825228712764897,0.12789376167590993,0.6548001683493561,2020-11-30
2020-12-01,0.1319415265557486,0.12103470762988189,0.0,0.1322102040503052,0.1319415265557486,0.6596325417736861,2020-12-01
2020-12-02,0.13658332131337392,0.12907760307224114,0.0,0.13676821643133474,0.13658332131337397,0.6626591602750063,2020-12-02
2020-12-03,0.14076138952124334,0.133830881820158,0.0,0.1409321149598693,0.14076138952124329,0.6577071900073914,2020-12-03
2020-12-04,0.14543419229008453,0.13997536410405043,0.0,0.14556866452164963,0.14543419229008436,0.6547839573499932,2020-12-04
2020-12-05,0.14984708521210527,0.14496051010796318,0.0,0.14996746061806615,0.1498470852121052,0.6496085325695851,2020-12-05
2020-12-06,0.1548271808561416,0.14787334251141226,0.0,0.1549984810195268,0.15482718085614156,0.6357768997904603,2020-12-06
2020-12-07,0.15887668775908242,0.15043837403086735,0.0,0.159084556341681,0.15887668775908237,0.6253072945940117,2020-12-07
2020-12-08,0.16252065168387436,0.15823491051373095,0.0,0.16262622620635786,0.16252065168387442,0.6321644887852553,2020-12-08
2020-12-09,0.16703597556429356,0.16477066879211655,0.0,0.16709177890641252,0.1670359755642935,0.6314185865109083,2020-12-09
2020-12-10,0.17317556178503019,0.17084269255851026,0.0,0.17323302945394164,0.17317556178503013,0.6223124002006268,2020-12-10
2020-12-11,0.17941165608561832,0.17595826389392077,0.0,0.17949672660600496,0.17941165608561827,0.6102785346399897,2020-12-11
2020-12-12,0.18549758799481292,0.1823346134338092,0.0,0.18557550439611864,0.18549758799481286,0.6026980285639087,2020-12-12
2020-12-13,0.19147760489940518,0.18433446851677415,0.0,0.1916535682118619,0.19147760489940513,0.5835266611654428,2020-12-13
2020-12-14,0.19770777632144648,0.187145858995725,0.0,0.19796795754422797,0.19770777632144643,0.5659957675813154,2020-12-14
2020-12-15,0.20345784617657287,0.1939134845301066,0.0,0.2036929610337777,0.2034578461765728,0.5615399948822457,2020-12-15
2020-12-16,0.21162166324184922,0.20169552930947032,0.0,0.2118661826396418,0.21162166324184917,0.5504574851877497,2020-12-16
2020-12-17,0.2194262751434905,0.20804289544235932,0.0,0.21970669218887046,0.21942627514349045,0.5372574730205759,2020-12-17
2020-12-18,0.22794546492157758,0.21388305195275703,0.0,0.22829187700649106,0.22794546492157763,0.5204038803450945,2020-12-18
2020-12-19,0.2358803801512494,0.2202738931961452,0.0,0.23626482880144045,0.23588038015124935,0.5075924417754081,2020-12-19
2020-12-20,0.2470833307202987,0.22376639373958407,0.0,0.247657717830903,0.24708333072029864,0.47607441403648254,2020-12-20
2020-12-21,0.2570971763199135,0.22663575103253386,0.0,0.257847560046137,0.2570971763199136,0.44824094288411853,2020-12-21
2020-12-22,0.2683464647034763,0.2354467067603797,0.0,0.2691569140742554,0.26834646470347634,0.43169709210454954,2020-12-22
2020-12-23,0.280278277738408,0.2445040214477212,0.0,0.2811595372160925,0.2802782777384081,0.41409247249882464,2020-12-23
2020-12-24,0.29266789444454894,0.25128613868560257,0.0,0.2936872885074044,0.292667894444549,0.3903172395447707,2020-12-24
2020-12-25,0.3036635442644586,0.25954640968045795,0.0,0.30475032137771346,0.30366354426445874,0.37515006018194885,2020-12-25
2020-12-26,0.3145710477154064,0.2620824577929136,0.0,0.3158640464283254,0.31457104771540645,0.3477017183742297,2020-12-26
2020-12-27,0.3234968256855035,0.2656474168538512,0.0,0.3249218822791918,0.32349682568550353,0.3292413193808499,2020-12-27
2020-12-28,0.336217426781027,0.2703137453807696,0.0,0.33784089152551683,0.33621742678102684,0.30283526057939913,2020-12-28
2020-12-29,0.35264958229770066,0.2755307586406782,0.0,0.3545493197430692,0.3526495822977006,0.26837026137631015,2020-12-29
2020-12-30,0.3678239971347204,0.28884863415694517,0.0,0.3697694683853933,0.36782399713472,0.2558748098377286,2020-12-30
2020-12-31,0.3850735098908588,0.3007318310267372,0.0,0.3871511744342913,0.38507350989085876,0.2355717267080244,2020-12-31
2021-01-01,0.40275365075781494,0.30961524527208173,0.0,0.4050480129914776,0.402753650757815,0.2090714104353424,2021-01-01
2021-01-02,0.4199118815034078,0.3146728497934933,0.0,0.42250432936208887,0.41991188150340764,0.17747830811819432,2021-01-02
2021-01-03,0.43623568318313616,0.32035359756539383,0.0,0.4390903109751069,0.436235683183136,0.1503624757179094,2021-01-03
2021-01-04,0.45476384089615246,0.3257155278603,0.0,0.45794280422715666,0.4547638408961524,0.11885196212391458,2021-01-04
2021-01-05,0.47390519074107756,0.3370770234041012,0.0,0.4772758022305273,0.4739051907410775,0.09850005508235249,2021-01-05
2021-01-06,0.49343675376085366,0.34988768929787695,0.0,0.49697292716283364,0.49343675376085383,0.08086671363230558,2021-01-06
2021-01-07,0.5097563745851372,0.3644373596116224,0.0,0.5133361487722674,0.5097563745851375,0.07353682163443298,2021-01-07
2021-01-08,0.5312727987273476,0.38118976885732914,0.0,0.5349699291844521,0.5312727987273476,0.06009102943040223,2021-01-08
2021-01-09,0.5501761882165377,0.3938120426056082,0.0,0.5540280470551948,0.5501761882165375,0.04526307980454258,2021-01-09
2021-01-10,0.5676978049812105,0.4010289109484819,0.0,0.5718035099694025,0.5676978049812105,0.024630314740742287,2021-01-10
2021-01-11,0.5822733122757582,0.40820230418085646,0.0,0.5865613602068527,0.5822733122757581,0.009959825914576559,2021-01-11
2021-01-12,0.596600058671338,0.4248822549090645,0.0,0.6008301380005361,0.5966000586713381,0.011448820578988217,2021-01-12
